	norm1	norm2	conflict	majority_class	entailment_prob	contradiction_prob	neutral_prob	len_norm1	len_norm2
1	NCR shall pay the freight carrier directly.	NCR must pay the freight carrier making a back deposit	True	contradiction	-6.700712203979492	-0.3787963390350342	-1.1580919027328491	7	10
3	The Specifications may only be amended by the NCR design release process.	The Specifications shall not be amended by the NCR design release process	True	contradiction	-2.00117301940918	-0.18527257442474365	-3.382997989654541	12	12
5	Seller will engineer, permit, construct, finance, operate and maintain the Thermal Energy Production Facilities so as to produce and deliver Thermal Energy to Buyer at the agreed upon Points of Delivery.	Seller is not responsible for engineer, permit, construct, finance, operate and maintain the Thermal Energy Production Facilities	True	contradiction	-1.7117815017700195	-0.23712289333343506	-3.488007068634033	31	17
6	In addition, Seller agrees to file a vendor registration if it has not already done so.	Seller shall not file any vendor registration	True	contradiction	-4.142148017883302	-0.12853729724884033	-2.256364345550537	16	7
7	Seller shall use reasonable means to limit the duration of the outage and shall attempt to schedule chilled water outages during winter months and steam outages during summer 8 months.	Seller cannot make water outrages	True	contradiction	-2.830350637435913	-0.5589742064476013	-0.996383011341095	30	5
13	The terms of this Letter Agreement shall become effective immediately prior to the closing under the APA.	The terms of this Letter Agreement must not become effective immediately prior to the closing under the APA	True	contradiction	-1.7622883319854736	-0.7147433161735535	-1.0816645622253418	17	18
20	This RMA number must be referenced on all paperwork and shipping containers with respect to the returned Product.	If shipping less than three products, RMA number shall not be referenced on the paperwork and shipping containers.	True	contradiction	-2.7314515113830566	-0.07497143745422362	-4.946919918060303	18	18
36	Cubist may also terminate this Agreement in the event that the FDA refuses to approve the Product.	Cubist may not terminate terminate this Agreement even in the event that the FDA refuses to approve the Product.	True	contradiction	-3.605846881866455	-0.06442999839782715	-3.3457493782043457	17	19
42	7.3 JMI will provide Celgene with the results of all assays required to be run under the Specifications.	7.3 JMI will not provide Celgene with the results of all assays required to be run under the Specifications.	True	contradiction	-1.6676905155181885	-0.4816660284996033	-1.6421446800231934	18	19
46	CoPacker will assume no costs of transportation and handling for such rejected Products.	CoPacker shall assume all costs of transportation and handling both ways for such rejected Products.	True	contradiction	-4.41140079498291	-0.6457782387733461	-0.7687171697616577	13	15
51	Supplier will only deliver the Products specified in a WA.	Supplier will not only deliver the Products specified in a WA.	True	contradiction	-3.3559999465942383	-0.04457664489746094	-4.741776943206787	10	11
55	Supplier shall process WAs issued by Buyer and shall accept all WAs in Accordance with this Goods Agreement and the applicable SOW.	Supplier shall not WAs issued by Buyer and shall not accept all WAs in Accordance with this Goods Agreement and the applicable SOW.	True	contradiction	-1.624886989593506	-0.2633616924285889	-3.3638379573822017	22	23
58	ges specified in that purchase Medica must store up to three Nephros product samples from each sterilization lot for the purpose of potent	Nephros may order for delivery in any given Quarter an aggregate quantity of Cartridge not exceeding 110% of the Final Forecast Quantity.	True	contradiction	-2.0210731029510502	-0.4107277989387512	-1.58807110786438	23	22
62	Medica shall also maintain records with respect to its costs, obligations, and performance under this agreement.	phros shall not reject any Cartridge that does not meet the Specification or comply with this agreement until it is 	True	contradiction	-5.401496410369873	-0.11841797828674315	-2.2333803176879883	16	20
65	"Should Customer request the use of a ""loaner"" truck, USF will make reasonable efforts to accommodate supplying a truck for special occasions."	"Should Customer request the use of a ""loaner"" truck, USF will not make reasonable efforts to accommodate supplying a truck for special occasions."	True	contradiction	-1.4433343410491943	-0.6391605734825134	-1.4433910846710205	22	23
