	norm1	norm2	conf_type	conflict	majority_class	entailment_prob	contradiction_prob	neutral_prob	rev_majority_class	rev_entailment_prob	rev_contradiction_prob	rev_neutral_prob	len_norm1	len_norm2
0	To this end, subject to any confidentiality agreements Solectron may have, Solectron will both inform and provide a commercially reasonable opportunity for acquisition of new and emerging Solectron and industry technology.	Solectron can choose not to inform new industry technologies produced by them	2	True	entailment	0.8287892937660217	0.029052210971713063	0.14215850830078125	entailment	0.8823076486587524	0.013416554778814316	0.10427576303482056	31	12
2	Products should be appropriately labeled with the European CE mark and any country specific requirements.	Products may be labeled with the European CE mark but shall not have any labels from country specific requirements	2	True	entailment	0.6455415487289429	0.10571590811014177	0.2487425059080124	entailment	0.7354279160499573	0.19235777854919436	0.07221425324678421	15	19
10	(B) ASE shall dispose of any Scrap in accordance with applicable laws and Motorola's written instructions.	ASE may dispose of any Scrap in accordance with applicable laws and Motorola's written instructions	1	True	entailment	0.6732445359230042	0.06314586102962494	0.2636096179485321	entailment	0.8388489484786987	0.020342038944363598	0.1408090591430664	16	15
12	Upon request, ASE shall ship all Scrap to Motorola separately from any of the Contract Products or Bailed Property in clearlymarked boxes so as to identify the items contained therein.	ASE shall ship all Scrap to Motorola along with the Contract Products or Bailed Property	3	True	entailment	0.8137311339378357	0.031240167096257213	0.15502873063087466	neutral	0.003982156049460173	0.4932838380336762	0.5027340054512024	30	15
14	All capitalized terms used but not otherwise defined herein shall have the same meanings as are ascribed thereto in the SPA or the IRA, as indicated below.	All capitalized terms used but not otherwise defined herein shall not have the same meanings as are ascribed thereto in the SPA or the IRA, as indicated below	1	True	entailment	0.8194582462310791	0.04173847287893295	0.13880328834056854	entailment	0.8188949823379517	0.03413496911525726	0.14697010815143585	27	28
15	"All inquiries that Seller receives on a worldwide basis relative to Buyer's air chamber ""Products"" as specified in Exhibit III, shall be directed to Buyer."	"All inquiries that Seller receives on a worldwide basis relative to Buyer's air chamber ""Products"" as specified in Exhibit III, must not be directed to Buyer."	1	True	entailment	0.5818406939506531	0.2615179121494293	0.1566414088010788	neutral	0.273750364780426	0.10200656205415726	0.6242430806159973	25	26
19	Where applicable, Taxes shall appear as separate items on Adaptec's invoice.	If shipping products, the Taxes shall appear along the other items on Adaptec's invoice.	4	True	entailment	0.9444153904914856	0.002723399084061384	0.052861280739307404	entailment	0.501721978187561	0.00829053670167923	0.4899874329566956	11	14
22	A 3% annual allowance for salary increases will be allowed for each of the subsequent years of each task if applicable.	Salary shall not be increased by more than 2% a year.	2	True	entailment	0.4987867772579193	0.2308609783649445	0.27035221457481384	entailment	0.3877873718738556	0.3479140102863312	0.2642986476421356	21	11
23	TEKNIKA shall pay to LSI the adjusted price for the Products within 15 business days of LSI's invoice for the Products.	TEKNIKA ought not pay to LSI the adjusted price for the Products.	1	True	entailment	0.646925151348114	0.33559077978134155	0.01748405396938324	contradiction	0.1035919114947319	0.5169921517372131	0.3794159293174744	21	12
25	As part of this contract, the crate types specified in greater detail in attachments 1 and 4 (designated in this contract as Ifco products) are to be produced and delivered by SWS to Ifco.	SWS must not produce crates.	2	True	entailment	0.5031346678733826	0.2895905673503876	0.20727479457855225	neutral	0.2429703176021576	0.04451391473412514	0.7125157713890076	34	5
